"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
18042133649267075,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@jmcicalese @feribluee  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",59,"05/29/2025 14:56",https://instagram.com/stories/hamletisntdead/3643472833377055644,"IG story",,Lifetime,245,203,2,0,0,51,,,
18069465022814583,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@ladymaudlin guessed correctly immediately 😂 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike Thank you @itsemmamueller for bringing her 🥹",8,"05/29/2025 14:52",https://instagram.com/stories/hamletisntdead/3643471586603520361,"IG story",,Lifetime,127,96,0,0,0,38,,,
17910538221032013,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Our beautiful surprise guest 🥹 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",11,"05/29/2025 14:49",https://instagram.com/stories/hamletisntdead/3643469128615352765,"IG story",,Lifetime,49,40,2,0,0,46,,,
18069356014982342,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike Getting glammed for our surprise guest 👀 Ft @ladymaudlin",37,"05/29/2025 14:48",https://instagram.com/stories/hamletisntdead/3643468554725696945,"IG story",,Lifetime,48,40,0,0,0,51,,,
17905771911057178,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike I usually tend to get here first so I like to set up the tea for all of us",11,"05/29/2025 14:43",https://instagram.com/stories/hamletisntdead/3643466102743781753,"IG story",,Lifetime,49,41,2,0,0,48,,,
18066942677054644,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",22,"05/29/2025 13:51",https://instagram.com/stories/hamletisntdead/3643462839684530255,"IG story",,Lifetime,47,39,1,0,0,50,,,
18011450201737680,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",22,"05/29/2025 13:48",https://instagram.com/stories/hamletisntdead/3643438538214984347,"IG story",,Lifetime,53,41,1,0,0,54,,,
17929348049942953,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",45,"05/29/2025 13:46",https://instagram.com/stories/hamletisntdead/3643437347913406199,"IG story",,Lifetime,102,79,2,0,0,71,1,,
18054658874249387,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike Guys…",22,"05/29/2025 13:39",https://instagram.com/stories/hamletisntdead/3643433685614921407,"IG story",,Lifetime,87,66,2,0,0,53,,,
18029959268453948,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Guys I think I’m being followed 👀 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",10,"05/29/2025 13:33",https://instagram.com/stories/hamletisntdead/3643430509318932793,"IG story",,Lifetime,57,42,0,0,0,53,,,
